Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2017-07-03,74.047997,74.269997,61.259998,62.644001,284267500,0.44688125,-0.16566000000000003
2017-07-10,62.580002,66.620003,60.625999,65.556,249730500,0.28737115384615386,0.0
2017-07-17,65.108002,66.330002,62.689999,65.68,163377000,0.2549691666666667,0.1589
2017-07-24,66.047997,69.5,65.258003,67.014,168149500,0.0813928571428571,-0.2942
2017-07-31,67.099998,71.454002,62.243999,71.382004,263668000,0.270445,0.14716800000000002
2017-08-07,71.470001,74.0,70.550003,71.573997,160625500,0.0855545454545454,0.36155000000000004
2017-08-14,72.926003,73.531998,69.160004,69.491997,107270000,0.27947500000000003,0.006236666666666657
2017-08-21,69.164001,71.332001,66.370003,69.610001,119203000,0.21307916666666663,0.2294
2017-08-28,69.456001,71.688004,67.75,71.080002,91864500,0.12768013888888888,0.0
2017-09-04,70.760002,71.098,68.311996,68.68,77146000,0.0,0.21648333333333336
2017-09-11,70.269997,76.0,70.0,75.961998,152241000,0.22791249999999993,0.13820000000000005
2017-09-18,76.050003,77.921997,70.176003,70.218002,156683000,0.49395,0.0
2017-09-25,70.629997,71.494003,67.080002,68.220001,156246000,0.2866045238095238,0.187325
2017-10-02,68.503998,72.019997,66.255997,71.375999,160365500,0.14540674342105261,0.30405000000000004
2017-10-09,69.93,71.956001,68.533997,71.113998,133002500,-0.04780740740740743,-0.039049999999999994
2017-10-16,70.751999,72.599998,68.867996,69.019997,118000500,0.253403125,0.12695
2017-10-23,69.975998,69.989998,63.332001,64.174004,154181500,-0.09286250000000004,-0.20341666666666666
2017-10-30,63.835999,66.522003,58.526001,61.217999,235347000,0.051262499999999996,0.04862
2017-11-06,61.400002,61.672001,59.259998,60.598,132890500,0.051262499999999996,-0.12620416666666665
2017-11-13,60.026001,65.334,59.821999,63.009998,193984500,0.06110833333333334,0.1516852380952381
2017-11-20,62.757999,63.646,60.950001,63.110001,118353500,0.4208333333333334,0.16765
2017-11-27,62.650002,64.0,60.245998,61.306,134586500,0.18218238095238093,0.22730999999999998
2017-12-04,61.299999,63.726002,60.0,63.026001,129630000,0.0669833333333333,0.4155375
2017-12-11,62.925999,69.487999,62.75,68.690002,178129000,0.029458999999999978,-0.06605
2017-12-18,68.980003,69.346001,64.963997,65.040001,134280000,0.20453333333333326,0.33185000000000003
